cell,attempts,source_clusters,root_passages,reference_voices,arm_id,metric,estimate,method,lo,hi,n_valid,n_empty,degenerate
B0,14,14,14,11,cosy_base,wer_all_pct,7.276172611251661,source_conditional,4.144860471692799,11.236122217914684,10000,0,False
B0,14,14,14,11,cosy_base,wer_all_pct,7.276172611251661,source_voice_crossed,2.7019351246523375,14.61605575949567,9997,3,False
B0,14,14,14,11,cosy_base,correct_word_recall_pct,92.89303720892538,source_conditional,88.9384926029378,95.95812413138115,10000,0,False
B0,14,14,14,11,cosy_base,correct_word_recall_pct,92.89303720892538,source_voice_crossed,85.54060912923558,97.33976353204241,9997,3,False
B0,14,14,14,11,cosy_short,wer_all_pct,7.652644942733182,source_conditional,4.86886326614268,10.846388858715633,10000,0,False
B0,14,14,14,11,cosy_short,wer_all_pct,7.652644942733182,source_voice_crossed,3.4673180370023733,13.50824063243606,9997,3,False
B0,14,14,14,11,cosy_short,correct_word_recall_pct,92.59866668368356,source_conditional,89.33890529306457,95.45382917901132,10000,0,False
B0,14,14,14,11,cosy_short,correct_word_recall_pct,92.59866668368356,source_voice_crossed,86.64049967448216,96.79848217268867,9997,3,False
B0,14,14,14,11,cosy_long,wer_all_pct,5.2107890353694675,source_conditional,2.7735684363601063,7.961987058637375,10000,0,False
B0,14,14,14,11,cosy_long,wer_all_pct,5.2107890353694675,source_voice_crossed,1.4744388077852923,10.365474190078073,9997,3,False
B0,14,14,14,11,cosy_long,correct_word_recall_pct,95.14404225978434,source_conditional,92.38195585957375,97.5327361492577,10000,0,False
B0,14,14,14,11,cosy_long,correct_word_recall_pct,95.14404225978434,source_voice_crossed,89.87423448311623,98.67066466766616,9997,3,False
B0,14,14,14,11,cosy_long_punct,wer_all_pct,3.566259685479732,source_conditional,2.196442281761224,5.024973618830131,10000,0,False
B0,14,14,14,11,cosy_long_punct,wer_all_pct,3.566259685479732,source_voice_crossed,1.3224492855603853,5.932611911129052,9997,3,False
B0,14,14,14,11,cosy_long_punct,correct_word_recall_pct,96.59889859916532,source_conditional,95.12186611208759,97.95609654335075,10000,0,False
B0,14,14,14,11,cosy_long_punct,correct_word_recall_pct,96.59889859916532,source_voice_crossed,94.16624133128745,98.78439053522824,9997,3,False
B0,14,14,14,11,qwen_base,wer_all_pct,3.8516131779185856,source_conditional,2.04802428215031,6.058366555818181,10000,0,False
B0,14,14,14,11,qwen_base,wer_all_pct,3.8516131779185856,source_voice_crossed,1.0706171820104986,7.907912823499164,9997,3,False
B0,14,14,14,11,qwen_base,correct_word_recall_pct,96.31977434260686,source_conditional,94.26571238376889,98.02912145328061,10000,0,False
B0,14,14,14,11,qwen_base,correct_word_recall_pct,96.31977434260686,source_voice_crossed,92.5848995465535,98.95538367934728,9997,3,False
B0,14,14,14,11,qwen_short,wer_all_pct,10.0301085580874,source_conditional,7.060381376644184,13.519075602681793,10000,0,False
B0,14,14,14,11,qwen_short,wer_all_pct,10.0301085580874,source_voice_crossed,5.213959815007123,15.934894067851529,9997,3,False
B0,14,14,14,11,qwen_short,correct_word_recall_pct,90.504621042918,source_conditional,87.1642946933038,93.35176905035668,10000,0,False
B0,14,14,14,11,qwen_short,correct_word_recall_pct,90.504621042918,source_voice_crossed,84.8751937931831,95.04039606093887,9997,3,False
B0,14,14,14,11,qwen_long,wer_all_pct,8.291080590238336,source_conditional,5.2730691177419535,11.715682966419463,10000,0,False
B0,14,14,14,11,qwen_long,wer_all_pct,8.291080590238336,source_voice_crossed,3.3776662060209617,14.959410621453454,9997,3,False
B0,14,14,14,11,qwen_long,correct_word_recall_pct,91.96684207288538,source_conditional,88.64873991158096,94.90092779882382,10000,0,False
B0,14,14,14,11,qwen_long,correct_word_recall_pct,91.96684207288538,source_voice_crossed,85.5318278646871,96.71768763582297,9997,3,False
B0,14,14,14,11,vox_base,wer_all_pct,12.384622507986917,source_conditional,6.750227539000536,18.69918563587308,10000,0,False
B0,14,14,14,11,vox_base,wer_all_pct,12.384622507986917,source_voice_crossed,3.5802136506193096,22.856601939898486,9997,3,False
B0,14,14,14,11,vox_base,correct_word_recall_pct,87.69747929825282,source_conditional,81.33625505014184,93.37228147053345,10000,0,False
B0,14,14,14,11,vox_base,correct_word_recall_pct,87.69747929825282,source_voice_crossed,77.17037244417112,96.55130493802392,9997,3,False
B0,14,14,14,11,vox_short,wer_all_pct,4.442131700663718,source_conditional,2.2000150516577377,6.9409785960011545,10000,0,False
B0,14,14,14,11,vox_short,wer_all_pct,4.442131700663718,source_voice_crossed,0.7749129695274126,8.596850289739569,9997,3,False
B0,14,14,14,11,vox_short,correct_word_recall_pct,95.72602862536948,source_conditional,93.26185031371347,97.90680876798407,10000,0,False
B0,14,14,14,11,vox_short,correct_word_recall_pct,95.72602862536948,source_voice_crossed,91.62344252494566,99.26861644103023,9997,3,False
B0,14,14,14,11,vox_long,wer_all_pct,3.402397999257498,source_conditional,1.5795107098625352,5.670871367424506,10000,0,False
B0,14,14,14,11,vox_long,wer_all_pct,3.402397999257498,source_voice_crossed,0.7609256148867921,7.583840687362512,9997,3,False
B0,14,14,14,11,vox_long,correct_word_recall_pct,97.04322867691647,source_conditional,94.76446499585296,98.80901247944182,10000,0,False
B0,14,14,14,11,vox_long,correct_word_recall_pct,97.04322867691647,source_voice_crossed,92.84041935122082,99.51690821256038,9997,3,False
B0,14,14,14,11,f5_base,wer_all_pct,45.03961504309734,source_conditional,34.66965844198382,54.700439362318754,10000,0,False
